Date,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status
23/07/1999,61,V ugm-3,36,V ugm-3,128,V ugm-3
24/07/1999,44,V ugm-3,43,V ugm-3,109,V ugm-3
25/07/1999,6,V ugm-3,16,V ugm-3,26,V ugm-3
26/07/1999,9,V ugm-3,16,V ugm-3,30,V ugm-3
27/07/1999,8,V ugm-3,19,V ugm-3,31,V ugm-3
28/07/1999,6,V ugm-3,19,V ugm-3,28,V ugm-3
29/07/1999,10,V ugm-3,29,V ugm-3,43,V ugm-3
30/07/1999,14,V ugm-3,41,V ugm-3,62,V ugm-3
31/07/1999,13,V ugm-3,49,V ugm-3,69,V ugm-3
01/08/1999,7,V ugm-3,43,V ugm-3,53,V ugm-3
02/08/1999,16,V ugm-3,47,V ugm-3,71,V ugm-3
03/08/1999,40,V ugm-3,51,V ugm-3,112,V ugm-3
04/08/1999,21,V ugm-3,40,V ugm-3,72,V ugm-3
05/08/1999,38,V ugm-3,42,V ugm-3,100,V ugm-3
06/08/1999,35,V ugm-3,40,V ugm-3,93,V ugm-3
07/08/1999,19,V ugm-3,37,V ugm-3,67,V ugm-3
08/08/1999,10,V ugm-3,26,V ugm-3,41,V ugm-3
09/08/1999,57,V ugm-3,46,V ugm-3,133,V ugm-3
10/08/1999,20,V ugm-3,26,V ugm-3,55,V ugm-3
11/08/1999,36,V ugm-3,42,V ugm-3,97,V ugm-3
12/08/1999,62,V ugm-3,57,V ugm-3,152,V ugm-3
13/08/1999,49,V ugm-3,53,V ugm-3,127,V ugm-3
14/08/1999,48,V ugm-3,34,V ugm-3,107,V ugm-3
15/08/1999,27,V ugm-3,28,V ugm-3,69,V ugm-3
16/08/1999,56,V ugm-3,45,V ugm-3,130,V ugm-3
17/08/1999,51,V ugm-3,41,V ugm-3,120,V ugm-3
18/08/1999,65,V ugm-3,43,V ugm-3,142,V ugm-3
19/08/1999,48,V ugm-3,40,V ugm-3,113,V ugm-3
20/08/1999,39,V ugm-3,41,V ugm-3,100,V ugm-3
21/08/1999,21,V ugm-3,29,V ugm-3,61,V ugm-3
22/08/1999,9,V ugm-3,25,V ugm-3,40,V ugm-3
23/08/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
24/08/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
25/08/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
26/08/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
27/08/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
28/08/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
29/08/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
30/08/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
31/08/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
01/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
02/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
03/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
04/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
05/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
06/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
07/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
08/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
09/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
10/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
11/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
12/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
13/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
14/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
15/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
16/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
17/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
18/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
19/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
20/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
21/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
22/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
23/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
24/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
25/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
26/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
27/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
28/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
29/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
30/09/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
01/10/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
02/10/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
03/10/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
04/10/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
05/10/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
06/10/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
07/10/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
08/10/1999,68,V ugm-3,47,V ugm-3,151,V ugm-3
09/10/1999,70,V ugm-3,46,V ugm-3,152,V ugm-3
10/10/1999,23,V ugm-3,23,V ugm-3,58,V ugm-3
11/10/1999,84,V ugm-3,49,V ugm-3,177,V ugm-3
12/10/1999,159,V ugm-3,63,V ugm-3,307,V ugm-3
13/10/1999,199,V ugm-3,61,V ugm-3,364,V ugm-3
14/10/1999,101,V ugm-3,48,V ugm-3,203,V ugm-3
15/10/1999,27,V ugm-3,44,V ugm-3,84,V ugm-3
16/10/1999,50,V ugm-3,47,V ugm-3,124,V ugm-3
17/10/1999,12,V ugm-3,28,V ugm-3,45,V ugm-3
18/10/1999,17,V ugm-3,26,V ugm-3,52,V ugm-3
19/10/1999,13,V ugm-3,29,V ugm-3,48,V ugm-3
20/10/1999,21,V ugm-3,35,V ugm-3,66,V ugm-3
21/10/1999,31,V ugm-3,38,V ugm-3,86,V ugm-3
22/10/1999,58,V ugm-3,48,V ugm-3,136,V ugm-3
23/10/1999,45,V ugm-3,45,V ugm-3,114,V ugm-3
24/10/1999,13,V ugm-3,25,V ugm-3,43,V ugm-3
25/10/1999,71,V ugm-3,50,V ugm-3,158,V ugm-3
26/10/1999,116,V ugm-3,55,V ugm-3,232,V ugm-3
27/10/1999,76,V ugm-3,54,V ugm-3,169,V ugm-3
28/10/1999,97,V ugm-3,55,V ugm-3,203,V ugm-3
29/10/1999,77,V ugm-3,54,V ugm-3,171,V ugm-3
30/10/1999,38,V ugm-3,39,V ugm-3,96,V ugm-3
31/10/1999,15,V ugm-3,25,V ugm-3,47,V ugm-3
01/11/1999,34,V ugm-3,33,V ugm-3,84,V ugm-3
02/11/1999,71,V ugm-3,48,V ugm-3,156,V ugm-3
03/11/1999,101,V ugm-3,58,V ugm-3,212,V ugm-3
04/11/1999,79,V ugm-3,62,V ugm-3,183,V ugm-3
05/11/1999,51,V ugm-3,47,V ugm-3,124,V ugm-3
06/11/1999,48,V ugm-3,36,V ugm-3,108,V ugm-3
07/11/1999,61,V ugm-3,49,V ugm-3,143,V ugm-3
08/11/1999,108,V ugm-3,50,V ugm-3,215,V ugm-3
09/11/1999,38,V ugm-3,39,V ugm-3,97,V ugm-3
10/11/1999,25,V ugm-3,36,V ugm-3,74,V ugm-3
11/11/1999,24,V ugm-3,37,V ugm-3,74,V ugm-3
12/11/1999,72,V ugm-3,44,V ugm-3,154,V ugm-3
13/11/1999,45,V ugm-3,40,V ugm-3,108,V ugm-3
14/11/1999,12,V ugm-3,23,V ugm-3,42,V ugm-3
15/11/1999,108,V ugm-3,55,V ugm-3,221,V ugm-3
16/11/1999,63,V ugm-3,58,V ugm-3,153,V ugm-3
17/11/1999,81,V ugm-3,58,V ugm-3,181,V ugm-3
18/11/1999,59,V ugm-3,55,V ugm-3,145,V ugm-3
19/11/1999,39,V ugm-3,40,V ugm-3,99,V ugm-3
20/11/1999,25,V ugm-3,36,V ugm-3,74,V ugm-3
21/11/1999,54,V ugm-3,42,V ugm-3,125,V ugm-3
22/11/1999,85,V ugm-3,56,V ugm-3,186,V ugm-3
23/11/1999,104,V ugm-3,54,V ugm-3,213,V ugm-3
