Date,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,Sulphur dioxide,Status,Sulphur dioxide,Status
16/10/1997,4,V ugm-3,No data,,No data,,No data,,No data,,No data,
17/10/1997,16,V ugm-3,No data,,No data,,No data,,No data,,No data,
18/10/1997,20,V ugm-3,No data,,No data,,No data,,No data,,No data,
19/10/1997,24,V ugm-3,No data,,No data,,No data,,No data,,No data,
20/10/1997,52,V ugm-3,No data,,No data,,No data,,No data,,No data,
21/10/1997,36,V ugm-3,No data,,No data,,No data,,No data,,No data,
22/10/1997,16,V ugm-3,No data,,No data,,No data,,No data,,No data,
23/10/1997,27,V ugm-3,No data,,No data,,No data,,No data,,No data,
24/10/1997,32,V ugm-3,No data,,No data,,No data,,No data,,No data,
25/10/1997,14,V ugm-3,No data,,No data,,No data,,No data,,No data,
26/10/1997,13,V ugm-3,No data,,No data,,No data,,No data,,No data,
27/10/1997,17,V ugm-3,No data,,No data,,No data,,No data,,No data,
28/10/1997,18,V ugm-3,No data,,No data,,No data,,No data,,No data,
29/10/1997,10,V ugm-3,No data,,No data,,No data,,No data,,No data,
30/10/1997,13,V ugm-3,No data,,No data,,No data,,No data,,No data,
31/10/1997,15,V ugm-3,No data,,No data,,No data,,No data,,No data,
01/11/1997,14,V ugm-3,No data,,No data,,No data,,No data,,No data,
02/11/1997,5,V ugm-3,No data,,No data,,No data,,No data,,No data,
03/11/1997,17,V ugm-3,No data,,No data,,No data,,No data,,No data,
04/11/1997,11,V ugm-3,No data,,No data,,No data,,No data,,No data,
05/11/1997,38,V ugm-3,No data,,No data,,No data,,No data,,No data,
06/11/1997,19,V ugm-3,No data,,No data,,No data,,No data,,No data,
07/11/1997,6,V ugm-3,No data,,No data,,No data,,No data,,No data,
08/11/1997,49,V ugm-3,No data,,No data,,No data,,No data,,No data,
09/11/1997,49,V ugm-3,No data,,No data,,No data,,No data,,No data,
10/11/1997,No data,V ugm-3,No data,,No data,,No data,,No data,,No data,
11/11/1997,No data,V ugm-3,No data,,No data,,No data,,No data,,No data,
12/11/1997,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,No data,V ugm-3
13/11/1997,5,V ugm-3,70,V ugm-3,53,V ugm-3,160,V ugm-3,No data,,6,V ugm-3
14/11/1997,8,V ugm-3,29,V ugm-3,39,V ugm-3,83,V ugm-3,No data,,3,V ugm-3
15/11/1997,18,V ugm-3,1,V ugm-3,24,V ugm-3,26,V ugm-3,No data,,0,V ugm-3
16/11/1997,18,V ugm-3,1,V ugm-3,18,V ugm-3,19,V ugm-3,No data,,2,V ugm-3
17/11/1997,13,V ugm-3,1,V ugm-3,20,V ugm-3,22,V ugm-3,No data,,5,V ugm-3
18/11/1997,10,V ugm-3,2,V ugm-3,26,V ugm-3,30,V ugm-3,No data,,3,V ugm-3
19/11/1997,30,V ugm-3,0,V ugm-3,16,V ugm-3,16,V ugm-3,No data,,4,V ugm-3
20/11/1997,34,V ugm-3,1,V ugm-3,20,V ugm-3,22,V ugm-3,No data,,1,V ugm-3
21/11/1997,25,V ugm-3,4,V ugm-3,25,V ugm-3,31,V ugm-3,No data,,2,V ugm-3
22/11/1997,15,V ugm-3,3,V ugm-3,22,V ugm-3,26,V ugm-3,No data,,3,V ugm-3
23/11/1997,27,V ugm-3,3,V ugm-3,13,V ugm-3,17,V ugm-3,No data,,2,V ugm-3
24/11/1997,21,V ugm-3,5,V ugm-3,22,V ugm-3,30,V ugm-3,No data,,2,V ugm-3
25/11/1997,2,V ugm-3,10,V ugm-3,33,V ugm-3,49,V ugm-3,No data,,6,V ugm-3
26/11/1997,1,V ugm-3,26,V ugm-3,38,V ugm-3,78,V ugm-3,No data,,7,V ugm-3
27/11/1997,3,V ugm-3,12,V ugm-3,39,V ugm-3,57,V ugm-3,No data,,4,V ugm-3
28/11/1997,30,V ugm-3,11,V ugm-3,23,V ugm-3,41,V ugm-3,No data,,2,V ugm-3
29/11/1997,24,V ugm-3,0,V ugm-3,14,V ugm-3,15,V ugm-3,No data,,3,V ugm-3
30/11/1997,20,V ugm-3,0,V ugm-3,12,V ugm-3,12,V ugm-3,No data,,4,V ugm-3
01/12/1997,4,V ugm-3,42,V ugm-3,32,V ugm-3,96,V ugm-3,No data,,11,V ugm-3
02/12/1997,14,V ugm-3,4,V ugm-3,31,V ugm-3,38,V ugm-3,No data,,5,V ugm-3
03/12/1997,14,V ugm-3,2,V ugm-3,25,V ugm-3,28,V ugm-3,No data,,3,V ugm-3
04/12/1997,10,V ugm-3,4,V ugm-3,22,V ugm-3,29,V ugm-3,No data,,2,V ugm-3
05/12/1997,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,No data,V ugm-3
06/12/1997,25,V ugm-3,1,V ugm-3,25,V ugm-3,26,V ugm-3,No data,,5,V ugm-3
07/12/1997,30,V ugm-3,1,V ugm-3,16,V ugm-3,17,V ugm-3,No data,,3,V ugm-3
08/12/1997,43,V ugm-3,1,V ugm-3,14,V ugm-3,15,V ugm-3,No data,,2,V ugm-3
09/12/1997,41,V ugm-3,1,V ugm-3,14,V ugm-3,16,V ugm-3,No data,,3,V ugm-3
10/12/1997,49,V ugm-3,3,V ugm-3,11,V ugm-3,16,V ugm-3,No data,,1,V ugm-3
11/12/1997,43,V ugm-3,2,V ugm-3,16,V ugm-3,18,V ugm-3,No data,,3,V ugm-3
12/12/1997,27,V ugm-3,6,V ugm-3,34,V ugm-3,43,V ugm-3,No data,,32,V ugm-3
13/12/1997,9,V ugm-3,13,V ugm-3,41,V ugm-3,60,V ugm-3,No data,,6,V ugm-3
14/12/1997,9,V ugm-3,18,V ugm-3,28,V ugm-3,56,V ugm-3,No data,,4,V ugm-3
15/12/1997,45,V ugm-3,0,V ugm-3,9,V ugm-3,9,V ugm-3,No data,,1,V ugm-3
16/12/1997,39,V ugm-3,0,V ugm-3,15,V ugm-3,15,V ugm-3,No data,,4,V ugm-3
17/12/1997,9,V ugm-3,4,V ugm-3,32,V ugm-3,38,V ugm-3,No data,,10,V ugm-3
18/12/1997,4,V ugm-3,8,V ugm-3,38,V ugm-3,50,V ugm-3,No data,,5,V ugm-3
19/12/1997,0,V ugm-3,44,V ugm-3,48,V ugm-3,116,V ugm-3,No data,,21,V ugm-3
20/12/1997,25,V ugm-3,1,V ugm-3,28,V ugm-3,30,V ugm-3,No data,,3,V ugm-3
21/12/1997,33,V ugm-3,1,V ugm-3,14,V ugm-3,15,V ugm-3,No data,,3,V ugm-3
22/12/1997,22,V ugm-3,1,V ugm-3,23,V ugm-3,24,V ugm-3,No data,,3,V ugm-3
23/12/1997,17,V ugm-3,5,V ugm-3,35,V ugm-3,43,V ugm-3,No data,,4,V ugm-3
24/12/1997,44,V ugm-3,0,V ugm-3,15,V ugm-3,15,V ugm-3,No data,,1,V ugm-3
25/12/1997,61,V ugm-3,1,V ugm-3,5,V ugm-3,6,V ugm-3,No data,,1,V ugm-3
26/12/1997,53,V ugm-3,1,V ugm-3,7,V ugm-3,8,V ugm-3,No data,,3,V ugm-3
27/12/1997,37,V ugm-3,1,V ugm-3,13,V ugm-3,14,V ugm-3,No data,,2,V ugm-3
28/12/1997,37,V ugm-3,1,V ugm-3,14,V ugm-3,15,V ugm-3,No data,,3,V ugm-3
29/12/1997,19,V ugm-3,8,V ugm-3,32,V ugm-3,44,V ugm-3,No data,,4,V ugm-3
30/12/1997,33,V ugm-3,1,V ugm-3,19,V ugm-3,21,V ugm-3,No data,,4,V ugm-3
31/12/1997,40,V ugm-3,3,V ugm-3,20,V ugm-3,24,V ugm-3,No data,,1,V ugm-3
01/01/1998,45,V ugm-3,2,V ugm-3,18,V ugm-3,20,V ugm-3,No data,,2,V ugm-3
02/01/1998,54,V ugm-3,1,V ugm-3,10,V ugm-3,11,V ugm-3,No data,,2,V ugm-3
03/01/1998,57,V ugm-3,0,V ugm-3,5,V ugm-3,5,V ugm-3,No data,,1,V ugm-3
04/01/1998,59,V ugm-3,1,V ugm-3,4,V ugm-3,5,V ugm-3,No data,,0,V ugm-3
05/01/1998,48,V ugm-3,2,V ugm-3,22,V ugm-3,25,V ugm-3,No data,,4,V ugm-3
06/01/1998,28,V ugm-3,3,V ugm-3,28,V ugm-3,33,V ugm-3,No data,,5,V ugm-3
07/01/1998,57,V ugm-3,1,V ugm-3,10,V ugm-3,11,V ugm-3,No data,,1,V ugm-3
08/01/1998,56,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,2,V ugm-3
09/01/1998,42,V ugm-3,1,V ugm-3,18,V ugm-3,19,V ugm-3,No data,,2,V ugm-3
10/01/1998,13,V ugm-3,5,V ugm-3,34,V ugm-3,42,V ugm-3,No data,,4,V ugm-3
11/01/1998,10,V ugm-3,3,V ugm-3,32,V ugm-3,36,V ugm-3,No data,,6,V ugm-3
12/01/1998,13,V ugm-3,2,V ugm-3,30,V ugm-3,34,V ugm-3,No data,,4,V ugm-3
13/01/1998,23,V ugm-3,1,V ugm-3,22,V ugm-3,23,V ugm-3,No data,,4,V ugm-3
14/01/1998,46,V ugm-3,1,V ugm-3,12,V ugm-3,14,V ugm-3,No data,,3,V ugm-3
15/01/1998,46,V ugm-3,1,V ugm-3,17,V ugm-3,18,V ugm-3,No data,,2,V ugm-3
16/01/1998,36,V ugm-3,1,V ugm-3,18,V ugm-3,20,V ugm-3,No data,,3,V ugm-3
17/01/1998,35,V ugm-3,1,V ugm-3,16,V ugm-3,18,V ugm-3,No data,,3,V ugm-3
18/01/1998,52,V ugm-3,1,V ugm-3,6,V ugm-3,7,V ugm-3,No data,,2,V ugm-3
19/01/1998,53,V ugm-3,1,V ugm-3,9,V ugm-3,10,V ugm-3,No data,,14,V ugm-3
20/01/1998,35,V ugm-3,8,V ugm-3,21,V ugm-3,33,V ugm-3,No data,,15,V ugm-3
21/01/1998,14,V ugm-3,31,V ugm-3,35,V ugm-3,82,V ugm-3,No data,,6,V ugm-3
22/01/1998,9,V ugm-3,5,V ugm-3,37,V ugm-3,44,V ugm-3,No data,,11,V ugm-3
23/01/1998,13,V ugm-3,5,V ugm-3,26,V ugm-3,34,V ugm-3,No data,,5,V ugm-3
24/01/1998,50,V ugm-3,0,V ugm-3,6,V ugm-3,7,V ugm-3,No data,,1,V ugm-3
25/01/1998,57,V ugm-3,0,V ugm-3,1,V ugm-3,1,V ugm-3,No data,,0,V ugm-3
26/01/1998,38,V ugm-3,1,V ugm-3,11,V ugm-3,13,V ugm-3,No data,,1,V ugm-3
27/01/1998,46,V ugm-3,0,V ugm-3,8,V ugm-3,9,V ugm-3,No data,,1,V ugm-3
28/01/1998,12,V ugm-3,12,V ugm-3,32,V ugm-3,51,V ugm-3,No data,,23,V ugm-3
29/01/1998,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,No data,V ugm-3
30/01/1998,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,No data,V ugm-3
31/01/1998,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,No data,V ugm-3
01/02/1998,26,V ugm-3,9,V ugm-3,13,V ugm-3,28,V ugm-3,No data,,4,V ugm-3
02/02/1998,13,V ugm-3,13,V ugm-3,28,V ugm-3,48,V ugm-3,No data,,24,V ugm-3
03/02/1998,14,V ugm-3,18,V ugm-3,18,V ugm-3,45,V ugm-3,No data,,17,V ugm-3
04/02/1998,16,V ugm-3,9,V ugm-3,21,V ugm-3,34,V ugm-3,No data,,9,V ugm-3
05/02/1998,17,V ugm-3,8,V ugm-3,22,V ugm-3,35,V ugm-3,No data,,7,V ugm-3
06/02/1998,42,V ugm-3,7,V ugm-3,11,V ugm-3,22,V ugm-3,No data,,3,V ugm-3
07/02/1998,49,V ugm-3,11,V ugm-3,11,V ugm-3,28,V ugm-3,No data,,3,V ugm-3
08/02/1998,32,V ugm-3,4,V ugm-3,18,V ugm-3,25,V ugm-3,No data,,4,V ugm-3
09/02/1998,36,V ugm-3,3,V ugm-3,25,V ugm-3,29,V ugm-3,No data,,2,V ugm-3
10/02/1998,36,V ugm-3,1,V ugm-3,24,V ugm-3,26,V ugm-3,No data,,3,V ugm-3
11/02/1998,48,V ugm-3,2,V ugm-3,15,V ugm-3,19,V ugm-3,No data,,3,V ugm-3
12/02/1998,41,V ugm-3,1,V ugm-3,18,V ugm-3,20,V ugm-3,No data,,5,V ugm-3
